Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Tajikistan," 7,235 ", 60 ," 6,028 "," 1,147 ", 43 , 1 , 58 , 1 , 83 , 1 ," 6,921 ", 314 ,4.54,Europe
Tanzania, 509 , 21 , 183 , 305 , -   , -   , -   , 4 , 36 , 11 , 509 , -   ,0.0,Africa
Thailand," 3,297 ", 58 ," 3,111 ", 128 , 6 , -   , 2 , 2 , 94 , 2 ," 3,250 ", 47 ,1.45,South-East Asia
Timor-Leste, 24 , -   , -   , 24 , -   , -   , -   , -   , -   , -   , 24 , -   ,0.0,South-East Asia
Togo, 874 , 18 , 607 , 249 , 6 , -   , 8 , 2 , 69 , 3 , 783 , 91 ,11.62,Africa
Trinidad and Tobago, 148 , 8 , 128 , 12 , 1 , -   , -   , 5 , 86 , 6 , 137 , 11 ,8.03,Americas
Tunisia," 1,455 ", 50 ," 1,157 ", 248 , 3 , -   , 15 , 3 , 80 , 4 ," 1,381 ", 74 ,5.36,Eastern Mediterranean
Turkey," 227,019 "," 5,630 "," 210,469 "," 10,920 ", 919 , 17 , 982 , 2 , 93 , 3 ," 220,572 "," 6,447 ",2.92,Europe
US," 4,290,259 "," 148,011 "," 1,325,804 "," 2,816,444 "," 56,336 "," 1,076 "," 27,941 ", 3 , 31 , 11 ," 3,834,677 "," 455,582 ",11.88,Americas
Uganda," 1,128 ", 2 , 986 , 140 , 13 , -   , 4 , 0 , 87 , 0 ," 1,069 ", 59 ,5.52,Africa
Ukraine," 67,096 "," 1,636 "," 37,202 "," 28,258 ", 835 , 11 , 317 , 2 , 55 , 4 ," 60,767 "," 6,329 ",10.42,Europe
United Arab Emirates," 59,177 ", 345 ," 52,510 "," 6,322 ", 264 , 1 , 328 , 1 , 89 , 1 ," 57,193 "," 1,984 ",3.47,Eastern Mediterranean
United Kingdom," 301,708 "," 45,844 "," 1,437 "," 254,427 ", 688 , 7 , 3 , 15 , 0 ," 3,190 "," 296,944 "," 4,764 ",1.6,Europe
Uruguay," 1,202 ", 35 , 951 , 216 , 10 , 1 , 3 , 3 , 79 , 4 ," 1,064 ", 138 ,12.97,Americas
Uzbekistan," 21,209 ", 121 ," 11,674 "," 9,414 ", 678 , 5 , 569 , 1 , 55 , 1 ," 17,149 "," 4,060 ",23.67,Europe
Venezuela," 15,988 ", 146 ," 9,959 "," 5,883 ", 525 , 4 , 213 , 1 , 62 , 1 ," 12,334 "," 3,654 ",29.63,Americas
Vietnam, 431 , -   , 365 , 66 , 11 , -   , -   , -   , 85 , -   , 384 , 47 ,12.24,Western Pacific
West Bank and Gaza," 10,621 ", 78 ," 3,752 "," 6,791 ", 152 , 2 , -   , 1 , 35 , 2 ," 8,916 "," 1,705 ",19.12,Eastern Mediterranean
Western Sahara, 10 , 1 , 8 , 1 , -   , -   , -   , 10 , 80 , 13 , 10 , -   ,0.0,Africa
Yemen," 1,691 ", 483 , 833 , 375 , 10 , 4 , 36 , 29 , 49 , 58 ," 1,619 ", 72 ,4.45,Eastern Mediterranean
Zambia," 4,552 ", 140 ," 2,815 "," 1,597 ", 71 , 1 , 465 , 3 , 62 , 5 ," 3,326 "," 1,226 ",36.86,Africa
